,,Metrics,,,,,,
Strategy,Method,Human-generated text,,,LLM-generated text,,,Global
Single Classifier,,Recall,Precision,F1,Recall,Precision,F1,Accuracy
,DistilBert,0.863,0.997,0.925,0.994,0.780,0.875,0.906
,DeBERTaV3,0.967,0.995,0.981,0.990,0.936,0.962,0.974
,FNet,0.961,0.862,0.909,0.685,0.896,0.776,0.870
,Albert,0.959,0.929,0.943,0.85,0.909,0.879,0.923
,XLMRoberta,0.879,0.996,0.934,0.993,0.801,0.887,0.917
Non-adaptive Ensemble,Hard Voting,0.960,0.995,0.977,0.991,0.924,0.956,0.970
Adaptive Ensemble,Neural Network,0.996,0.992,0.994,0.984,0.992,0.988,0.992
,Random Forest,0.997,0.992,0.994,0.983,0.993,0.988,0.992
,GBDT,0.995,0.992,0.993,0.983,0.990,0.987,0.992
