Domain,Application,Method,Results
Medicine and Public Health,"Clinical decision support in
radiology [18]","Provided text prompts and
evaluated diagnosis response
for breast cancer screening","Effective in breast cancer
screening but not in breast
pain detection"
,"Improving efficiency in
Urology [19]","Discussed the role of
generative AI in helping
urologists",N/A
,"Answer frequently asked
medical questions [20]","Asked human evaluators to
distinguish between ChatGPT
and human answers to
diabetes-related questions","The evaluators could only
identify answers to be
generated by ChatGPT 59.5%
of the time"
,"Write a short review on a
medical topic [21]","ChatGPT was asked to write a
mini review on lipid-based
drug delivery systems","ChatGPT can benefit readers
with general knowledge but
the accuracy of analysis is
questionable due a lack of
reliable citations"
,Take on medical exam [23],"Asked ChatGPT questions
from US medical licensing
exam after removing
questions with visual
information","ChatGPT performed near the
passing threshold of 60%
accuracy"
,"Take on a medical exam in
Chinese [24]","Asked ChatGPT questions
from the Chinese national
medical licensing exam","ChatGPT performed
considerably lower, with
45.8% correct answers"
,"Take on Ophthalmology
exam [25]","Asked ChatGPT questions
from Ophthalmic knowledge
assessment program","Obtained 55.8% and 42.7%
accuracy on the two exams,
respectively"
,"Take on a life support exam
[26]","Asked ChatGPT questions
from basic and advanced
cardiovascular life support
exams by the American Heart
Association","Despite scoring below the
passing threshold, ChatGPT
showed promising results by
providing detailed
explanation of its rationale"
Education,"Analyze impact of ChatGPT
in education ([30], [31], [32])","Highlighted potential benefits
and ethical concerns",N/A
,Algebra tutoring [33],"Used ChatGPT to generate
hints for Algebra topics","70% of the hints could result
in positive learning gains for
students"
,"Assess Mathematics
proficiency of ChatGPT [34]","Created a dataset containing
questions related to
elementary arithmetic
problems, symbolic
problems, and other exercises","For most problems, ChatGPT
does not cross the passing
threshold"
,"Plagiarism Detection Tool
[35]","Asked ChatGPT to determine
if a writing was generated by
itself","Performed better than other
plagiarism detection software"
