source,target,tgt_lng
Widrow,Widrow,
reinforcement learning algorithm,algoritmo de aprendizaje por refuerzo,
punish/reward,castigo/recompensa,
bootstrapping,bootstrapping,
Barto,Barto,
Sutton,Sutton,
Anderson,Anderson,
credit assignment,asignación de crédito,
Albus,Albus,
adaptive CMAC,CMAC adaptativo,
distributed table-look-up system,sistema distribuido de consulta de tablas,
Grossberg,Grossberg,
Adaptive Resonance Theory,Teoría de la Resonancia Adaptativa,
ART,ART,
Carpenter,Carpenter,
ART 1,ART 1,
ART 2,ART 2,
ART 3,ART 3,
pattern clustering algorithms,algoritmos de agrupamiento de patrones,
self-organizing feature maps,mapas autoorganizados de características,
Hopfield,Hopfield,
outer product rules,reglas de producto exterior,
Hopfield models,modelos de Hopfield,
sigmoid,sigmoide,
hyperbolic tangent,tangente hiperbólica,
smooth nonlinear functions,funciones no lineales suaves,
linear adaptive element,elemento adaptativo lineal,
squashing functions,funciones de compresión,
activation functions,funciones de activación,
transfer characteristics,características de transferencia,
threshold functions,funciones de umbral,
Stanford,Stanford,
backpropagation algorithm,algoritmo de retropropagación,
minimal disturbance principle,principio de perturbación mínima,
error correction rules,reglas de corrección de errores,
steepest-descent rules,reglas de descenso más pronunciado,
neural network,red neuronal,
Lippmann,Lippmann,
Rosenfeld,Rosenfeld,
Nilsson’s monograph,monografía de Nilsson,
Rumelhart,Rumelhart,
McClelland,McClelland,
Moore,Moore,
Grossberg’s terminology,terminología de Grossberg,
DARPA Study report,informe de estudio de DARPA,
computer vision,visión por computadora,
speech-recognition technology,tecnología de reconocimiento de voz,
digital computer,computadora digital,
Perceptron,Perceptrón,
Madaline,Madaline,
Backpropagation,Backpropagación,
BERNARD WIDROW,BERNARD WIDROW,
IEEE,IEEE,
MICHAEL A. LEHR,MICHAEL A. LEHR,
feedforward artificial neural networks,redes neuronales artificiales feedforward,
supervised neural network training algorithms,algoritmos de entrenamiento supervisado de redes neuronales,
Perceptron rule,regla del Perceptrón,
LMS algorithm,algoritmo LMS,
Madaline rules,reglas de Madaline,
backpropagation technique,técnica de backpropagación,
Steinbuch,Steinbuch,
Learning Matrix,Matriz de Aprendizaje,
pattern recognition machine,máquina de reconocimiento de patrones,
linear discriminant functions,funciones discriminantes lineales,
Madaline Rule I (MRI),Regla Madaline I (MRI),
Stark,Stark,
Okajima,Okajima,
